threshold,precision,recall,f1,accuracy
0.0,0.44,1.0,0.61,0.44
0.05,0.56,1.0,0.71,0.65
0.1,0.6,0.98,0.75,0.7
0.15,0.63,0.96,0.76,0.73
0.2,0.65,0.94,0.77,0.75
0.25,0.67,0.93,0.78,0.77
0.3,0.69,0.91,0.79,0.78
0.35,0.71,0.89,0.79,0.79
0.4,0.73,0.87,0.79,0.8
0.45,0.74,0.84,0.79,0.8
0.5,0.76,0.81,0.78,0.8
0.55,0.78,0.76,0.77,0.8
0.6,0.8,0.7,0.75,0.79
0.65,0.81,0.62,0.71,0.77
0.7,0.84,0.55,0.67,0.76
0.75,0.87,0.48,0.62,0.74
0.8,0.89,0.4,0.55,0.71
0.85,0.92,0.29,0.44,0.68
0.9,0.94,0.15,0.26,0.62
0.95,1.0,0.02,0.03,0.57
1.0,0.0,0.0,0.0,0.56
