age,workclass,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,outcome
36,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,33,0
40,Private,13,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,0,2258,48,0
31,Self-emp-not-inc,13,Divorced,Exec-managerial,Unmarried,White,Male,0,0,60,1
40,Private,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,60,1
21,Private,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,70,0
18,Private,7,Never-married,Exec-managerial,Own-child,White,Male,0,0,20,0
29,Self-emp-not-inc,7,Married-civ-spouse,Other-service,Wife,White,Female,0,0,5,0
38,Private,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,1
29,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1887,30,1
33,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,70,1
34,Private,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2057,40,0
37,Private,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,0
42,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,0
60,Private,4,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,40,0
20,Private,10,Never-married,Other-service,Own-child,White,Female,0,0,20,0
17,Private,7,Never-married,Sales,Own-child,White,Female,0,0,20,0
37,Private,12,Divorced,Craft-repair,Not-in-family,Black,Male,0,0,40,0
25,Private,11,Never-married,Other-service,Own-child,White,Female,0,0,15,0
17,Private,6,Never-married,Other-service,Own-child,White,Male,0,0,15,0
68,Private,10,Married-civ-spouse,Sales,Husband,White,Male,0,2377,55,1
33,Private,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,0
38,Private,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,0
59,Federal-gov,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,1
47,Private,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,0
90,Private,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,1
25,Private,11,Married-civ-spouse,Prof-specialty,Wife,White,Female,7688,0,40,1
47,Private,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,47,1
31,Private,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,55,0
31,Private,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,0
34,Self-emp-inc,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,1
62,Private,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,40,1
46,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,7688,0,40,1
45,Private,11,Married-civ-spouse,Craft-repair,Husband,White,Male,4386,0,38,1
22,Private,10,Never-married,Other-service,Own-child,White,Female,0,0,25,0
41,Private,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,0
55,Private,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,1
49,Self-emp-not-inc,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,70,0
40,Private,10,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,0
27,Private,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,3103,0,50,1
17,Private,4,Never-married,Sales,Own-child,White,Male,0,0,8,0
26,Private,6,Never-married,Adm-clerical,Not-in-family,Black,Male,0,0,20,0
46,Private,16,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,1
23,Private,13,Never-married,Other-service,Not-in-family,White,Female,0,0,40,0
61,Private,9,Divorced,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,0,0,40,0
36,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,1
59,Private,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,38,1
29,Private,10,Separated,Handlers-cleaners,Not-in-family,Black,Male,0,0,42,0
32,Local-gov,9,Never-married,Other-service,Own-child,White,Male,0,0,40,0
51,Self-emp-not-inc,12,Married-civ-spouse,Sales,Husband,White,Male,3103,0,30,1
36,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,0
37,Self-emp-inc,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,1
47,Private,9,Separated,Exec-managerial,Unmarried,White,Female,0,0,37,0
36,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,1
37,Private,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,0
31,Private,9,Never-married,Other-service,Not-in-family,White,Female,0,0,56,0
30,Private,13,Never-married,Exec-managerial,Not-in-family,White,Male,27828,0,60,1
53,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,1
66,Private,9,Widowed,Sales,Not-in-family,White,Female,0,0,40,1
45,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,0
46,Federal-gov,10,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,0
34,Private,7,Never-married,Other-service,Own-child,Asian-Pac-Islander,Male,0,0,40,0
43,State-gov,10,Divorced,Adm-clerical,Other-relative,White,Female,0,0,40,0
40,Local-gov,4,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,1887,40,1
42,Self-emp-inc,2,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,0
32,Private,9,Divorced,Adm-clerical,Own-child,White,Female,0,0,40,0
44,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,55,0
44,Private,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,0
63,Self-emp-not-inc,13,Never-married,Transport-moving,Not-in-family,White,Male,0,0,40,0
57,Self-emp-not-inc,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,1
51,,9,Married-civ-spouse,,Husband,White,Male,0,0,40,0
24,Private,9,Never-married,Sales,Own-child,White,Female,0,0,30,0
20,Private,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,0
36,Private,9,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,40,0
29,Self-emp-inc,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,1
63,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,45,0
34,Private,9,Divorced,Machine-op-inspct,Unmarried,White,Female,0,0,40,0
34,Private,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,55,0
75,Self-emp-not-inc,14,Married-spouse-absent,Prof-specialty,Not-in-family,White,Female,0,0,50,0
18,Private,7,Never-married,Other-service,Own-child,White,Male,0,0,10,0
71,Private,1,Widowed,Craft-repair,Unmarried,Black,Male,0,0,10,0
28,Private,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,0
41,Private,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,1
59,Self-emp-not-inc,13,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,50,1
32,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,5178,0,50,1
30,Private,13,Never-married,Prof-specialty,Own-child,Black,Male,0,0,40,0
41,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,0
59,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,15024,0,50,1
39,Self-emp-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,5178,0,50,1
42,Private,9,Never-married,Sales,Unmarried,White,Female,0,0,40,0
31,Private,15,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,45,1
35,Private,9,Never-married,Transport-moving,Unmarried,Black,Male,0,0,72,0
39,Private,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,0
68,Private,10,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,45,0
42,State-gov,15,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,0
37,Private,9,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,40,1
37,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,40,1
39,Self-emp-not-inc,9,Divorced,Farming-fishing,Not-in-family,White,Male,8614,0,50,1
36,Private,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,0
45,Local-gov,12,Divorced,Prof-specialty,Unmarried,White,Female,0,0,48,0
21,Private,10,Never-married,Sales,Not-in-family,White,Male,0,0,40,0
23,Private,12,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,0
30,,6,Divorced,,Unmarried,White,Male,0,0,40,0
22,Private,9,Never-married,Sales,Own-child,Black,Female,0,0,40,0
65,Private,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,27,0
43,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1902,99,1
35,Private,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,0,0,40,1
35,,10,Never-married,,Unmarried,White,Male,0,0,10,0
54,Private,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,0
22,,10,Never-married,,Own-child,White,Male,0,0,40,0
36,Private,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,1
60,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,1
29,Private,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,0
50,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,1
30,Private,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,44,1
