threshold,precision,recall,f1,accuracy
0.0,0.44,1.0,0.61,0.44
0.05,0.55,0.96,0.7,0.64
0.1,0.59,0.95,0.73,0.69
0.15,0.62,0.94,0.75,0.72
0.2,0.64,0.92,0.76,0.74
0.25,0.66,0.91,0.77,0.76
0.3,0.68,0.89,0.77,0.77
0.35,0.7,0.87,0.78,0.78
0.4,0.71,0.85,0.78,0.78
0.45,0.72,0.83,0.77,0.79
0.5,0.73,0.8,0.77,0.78
0.55,0.75,0.74,0.75,0.78
0.6,0.77,0.71,0.74,0.78
0.65,0.79,0.67,0.73,0.78
0.7,0.81,0.61,0.7,0.77
0.75,0.82,0.55,0.66,0.75
0.8,0.83,0.48,0.61,0.73
0.85,0.84,0.38,0.53,0.7
0.9,0.84,0.31,0.45,0.67
0.95,0.79,0.2,0.32,0.62
1.0,0.78,0.16,0.27,0.61
