threshold,precision,recall,f1,accuracy
0.0,0.44,1.0,0.61,0.44
0.05,0.54,0.99,0.7,0.62
0.1,0.59,0.98,0.74,0.69
0.15,0.62,0.96,0.76,0.73
0.2,0.65,0.95,0.77,0.75
0.25,0.68,0.94,0.79,0.78
0.3,0.7,0.92,0.79,0.79
0.35,0.72,0.88,0.79,0.79
0.4,0.75,0.85,0.79,0.81
0.45,0.76,0.81,0.79,0.81
0.5,0.79,0.77,0.78,0.81
0.55,0.81,0.73,0.77,0.81
0.6,0.83,0.68,0.75,0.8
0.65,0.85,0.64,0.73,0.79
0.7,0.87,0.6,0.71,0.78
0.75,0.89,0.54,0.67,0.77
0.8,0.91,0.47,0.62,0.75
0.85,0.93,0.4,0.56,0.72
0.9,0.96,0.3,0.45,0.69
0.95,0.99,0.19,0.31,0.64
1.0,0.0,0.0,0.0,0.56
