threshold,precision,recall,f1,accuracy
0.0,0.44,1.0,0.61,0.44
0.05,0.54,0.99,0.7,0.63
0.1,0.59,0.98,0.74,0.69
0.15,0.62,0.97,0.76,0.73
0.2,0.65,0.96,0.77,0.75
0.25,0.67,0.94,0.78,0.77
0.3,0.68,0.92,0.79,0.78
0.35,0.7,0.9,0.79,0.79
0.4,0.72,0.87,0.79,0.79
0.45,0.74,0.84,0.79,0.8
0.5,0.75,0.8,0.78,0.8
0.55,0.78,0.76,0.77,0.8
0.6,0.8,0.71,0.75,0.8
0.65,0.82,0.66,0.73,0.79
0.7,0.84,0.59,0.69,0.77
0.75,0.86,0.52,0.65,0.75
0.8,0.88,0.44,0.59,0.73
0.85,0.9,0.35,0.5,0.7
0.9,0.92,0.22,0.35,0.65
0.95,0.95,0.06,0.11,0.58
1.0,0.0,0.0,0.0,0.56
